1,Voyatouch,81,36
2,Y-find,272,42
3,Subin,44,24
4,Stringtough,401,63
5,Zathin,421,23
6,Latlux,7,94
7,Zamit,232,59
8,Stringtough,91,19
9,Voltsillam,129,74
10,Cardguard,170,68
11,Voltsillam,147,73
12,Cardify,125,45
13,Cardguard,146,75
14,Daltfresh,110,45
15,Matsoft,479,12
16,Alpha,288,95
17,Fix San,410,90
18,Latlux,498,46
19,Home Ing,306,61
20,Zoolab,290,5
21,It,200,59
22,Daltfresh,298,30
23,Trippledex,137,77
24,Regrant,273,18
25,Transcof,185,33
26,Redhold,216,74
27,Duobam,410,23
28,Prodder,481,84
29,Lotstring,184,32
30,Stronghold,413,38
31,Hatity,329,17
32,Tempsoft,229,28
33,Home Ing,130,54
34,Cardguard,200,86
35,Regrant,304,42
36,Greenlam,180,35
37,Fix San,489,7
38,Temp,305,32
39,Zathin,348,41
40,Fix San,350,5
41,Rank,321,25
42,Bytecard,255,77
43,Lotlux,424,61
44,Viva,27,82
45,Zathin,459,20
46,Konklux,248,15
47,Pannier,481,30
48,Domainer,284,30
49,Span,377,99
50,Stronghold,236,47
51,Tampflex,113,87
52,Voltsillam,244,37
53,Lotlux,169,84
54,Voyatouch,244,92
55,Cardify,189,50
56,Home Ing,226,59
57,Temp,484,56
58,Tin,104,95
59,Sonair,354,45
60,Gembucket,408,65
61,Keylex,156,93
62,Otcom,309,67
63,Ventosanzap,453,29
64,Domainer,6,33
65,Vagram,155,45
66,Zathin,322,29
67,Tresom,237,40
68,Fixflex,8,62
69,Overhold,268,32
70,It,73,30
71,Solarbreeze,410,54
72,Voyatouch,41,49
73,Matsoft,191,20
74,Flexidy,472,79
75,Y-Solowarm,387,27
76,Wrapsafe,372,15
77,Prodder,222,49
78,Ventosanzap,68,68
79,Y-Solowarm,152,50
80,Fix San,376,74
81,Bamity,473,70
82,Zoolab,41,96
83,Namfix,92,92
84,Treeflex,289,34
85,Kanlam,447,98
86,Cardguard,20,98
87,Bigtax,498,57
88,Zamit,147,7
89,Trippledex,419,1
90,Ronstring,213,77
91,Cardify,151,47
92,Veribet,94,42
93,Voltsillam,332,5
94,Fix San,500,18
95,Biodex,364,73
96,Fix San,452,96
97,Duobam,467,90
98,Flowdesk,451,5
99,Hatity,329,81
100,Veribet,54,10
101,Subin,241,38
102,It,465,19
103,Trippledex,68,77
104,Tampflex,315,70
105,Y-find,1,14
106,Konklux,319,11
107,Gembucket,250,12
108,Bitchip,373,45
109,Pannier,113,55
110,Bytecard,252,34
111,Ronstring,200,42
112,Flexidy,263,46
113,Bamity,347,78
114,Span,63,16
115,Zaam-Dox,426,51
116,Bitchip,227,22
117,Cardify,168,36
118,Redhold,255,27
119,Span,183,70
120,Aerified,145,67
121,Aerified,25,68
122,Konklab,469,16
123,Voyatouch,167,5
124,Home Ing,62,62
125,Stringtough,280,15
126,Ronstring,282,70
127,Veribet,37,21
128,Toughjoyfax,385,98
129,Tin,469,12
130,Zaam-Dox,142,88
131,Home Ing,229,22
132,Alphazap,256,37
133,Job,435,3
134,Fix San,306,97
135,Alpha,283,51
136,Bitchip,375,28
137,Keylex,142,93
138,It,192,96
139,Cookley,356,49
140,Biodex,401,1
141,Pannier,57,45
142,Quo Lux,170,95
143,Zathin,454,52
144,Alphazap,473,37
145,Prodder,177,26
146,Kanlam,374,61
147,Flowdesk,231,82
148,Mat Lam Tam,238,53
149,Zathin,73,52
150,Bigtax,286,28
151,Fintone,45,88
152,Biodex,415,99
153,Opela,105,59
154,Y-Solowarm,253,29
155,Overhold,327,37
156,Redhold,283,85
157,Span,46,57
158,Redhold,300,96
159,Quo Lux,221,95
160,Konklab,340,78
161,Sonsing,385,16
162,Quo Lux,57,72
163,Gembucket,399,21
164,Toughjoyfax,196,64
165,Cardguard,319,92
166,Mat Lam Tam,146,50
167,Sonsing,268,80
168,Fintone,55,77
169,Zontrax,491,96
170,Subin,461,60
171,Zoolab,195,89
172,Asoka,59,98
173,Ronstring,155,51
174,Asoka,305,43
175,Ronstring,48,42
176,Span,440,82
177,Veribet,328,21
178,Keylex,75,23
179,Tres-Zap,3,99
180,Redhold,233,45
181,Konklab,227,81
182,Sonair,191,94
183,Fix San,412,31
184,Regrant,143,26
185,Fintone,345,71
186,Trippledex,480,73
187,Cookley,457,62
188,Kanlam,7,99
189,Sub-Ex,170,48
190,Bytecard,337,60
191,Latlux,38,69
192,Veribet,176,62
193,Viva,419,38
194,Fix San,312,89
195,Latlux,347,39
196,Daltfresh,29,90
197,Holdlamis,226,28
198,Zathin,445,94
199,Treeflex,187,52
200,Stim,7,39
201,Vagram,266,97
202,Quo Lux,63,22
203,Home Ing,414,58
204,Treeflex,372,79
205,Redhold,332,67
206,Greenlam,348,88
207,Andalax,482,11
208,Cardify,45,88
209,Flexidy,450,45
210,Toughjoyfax,410,14
211,Domainer,476,87
212,Ronstring,41,77
213,Bigtax,313,2
214,Sonsing,349,89
215,Subin,142,2
216,Lotlux,13,58
217,Rank,181,54
218,Hatity,53,16
219,Asoka,29,59
220,Latlux,159,96
221,Regrant,285,7
222,Domainer,290,34
223,Bitwolf,386,76
224,Flexidy,326,13
225,Tampflex,346,58
226,Tresom,74,72
227,Tempsoft,237,17
228,Ronstring,333,85
229,Overhold,297,3
230,Lotlux,308,30
231,Quo Lux,279,86
232,Mat Lam Tam,413,90
233,Mat Lam Tam,215,25
234,Ronstring,250,50
235,Bitwolf,399,27
236,Opela,404,83
237,Kanlam,345,26
238,Span,304,99
239,Fixflex,76,97
240,Solarbreeze,178,69
241,Bitchip,14,99
242,Tampflex,417,18
243,Biodex,311,56
244,Stringtough,473,10
245,Biodex,151,5
246,Cookley,447,5
247,Bitchip,139,13
248,Alpha,42,45
249,Zamit,429,33
250,Sonsing,129,43
251,Redhold,225,34
252,Zontrax,414,70
253,Gembucket,6,55
254,Sub-Ex,432,79
255,Solarbreeze,455,29
256,Cardguard,95,83
257,Subin,415,44
258,Treeflex,390,8
259,Zontrax,383,49
260,Greenlam,207,83
261,Fintone,330,23
262,Zoolab,458,47
263,Regrant,172,45
264,Tempsoft,372,18
265,Quo Lux,312,78
266,Lotstring,420,58
267,Namfix,351,59
268,Viva,176,62
269,Ventosanzap,171,48
270,Opela,60,62
271,Greenlam,372,75
272,Stim,220,81
273,Opela,147,43
274,Bigtax,69,83
275,Alphazap,47,34
276,Namfix,474,16
277,Daltfresh,84,99
278,Regrant,430,26
279,Alpha,76,86
280,Subin,416,66
281,Y-Solowarm,474,38
282,Mat Lam Tam,59,55
283,Rank,221,20
284,Gembucket,309,20
285,Aerified,258,6
